Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per Week,Native Country,Salary
39, Government, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
50, Self-employed, Bachelors, Married, Exec-managerial, Husband, White, Male,13, United-States, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
53, Private, Didnt-grad-HS, Married, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
28, Private, Bachelors, Married, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K
37, Private, Masters, Married, Exec-managerial, Wife, White, Female,40, United-States, <=50K
49, Private, Didnt-grad-HS, Married, Other, Not-in-family, Black, Female,16, Jamaica, <=50K
52, Self-employed, HS-grad, Married, Exec-managerial, Husband, White, Male,45, United-States, >50K
31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
42, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
37, Private, Bachelors, Married, Exec-managerial, Husband, Black, Male,80, United-States, >50K
30, Government, Bachelors, Married, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K
40, Private, Assoc-voc, Married, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?, >50K
34, Private, Didnt-grad-HS, Married, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, Self-employed, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K
38, Private, Didnt-grad-HS, Married, Sales, Husband, White, Male,50, United-States, <=50K
43, Self-employed, Masters, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K
40, Private, Doctorate, Married, Prof-specialty, Husband, White, Male,60, United-States, >50K
54, Private, HS-grad, Separated, Other, Unmarried, Black, Female,20, United-States, <=50K
35, Government, Didnt-grad-HS, Married, Farming-fishing, Husband, Black, Male,40, United-States, <=50K
43, Private, Didnt-grad-HS, Married, Transport-moving, Husband, White, Male,40, United-States, <=50K
59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,40, United-States, <=50K
56, Government, Bachelors, Married, Tech-support, Husband, White, Male,40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
54, Other, Bachelors, Married, Other, Husband, Asian-Pac-Islander, Male,60, South, >50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,80, United-States, <=50K
49, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
23, Government, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,52, United-States, <=50K
20, Private, Bachelors, Never-married, Sales, Own-child, Black, Male,44, United-States, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,40, United-States, <=50K
30, Government, Bachelors, Married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
22, Government, Bachelors, Married, Other, Husband, Black, Male,15, United-States, <=50K
48, Private, Didnt-grad-HS, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, <=50K
21, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
19, Private, HS-grad, Married, Adm-clerical, Wife, White, Female,25, United-States, <=50K
31, Private, Bachelors, Married, Sales, Husband, White, Male,38, ?, >50K
48, Self-employed, Assoc-acdm, Married, Prof-specialty, Husband, White, Male,40, United-States, <=50K
31, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,43, United-States, <=50K
53, Self-employed, Bachelors, Married, Prof-specialty, Husband, White, Male,40, United-States, <=50K
24, Private, Bachelors, Married, Tech-support, Husband, White, Male,50, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K
57, Government, Bachelors, Married, Prof-specialty, Husband, Black, Male,40, United-States, >50K
53, Private, HS-grad, Married, Machine-op-inspct, Husband, White, Male,38, United-States, <=50K
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K
41, Government, Assoc-voc, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,43, United-States, <=50K
25, Private, Bachelors, Married, Exec-managerial, Wife, Other, Female,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other, Own-child, White, Female,30, ?, <=50K
47, Private, Prof-school, Married, Prof-specialty, Wife, White, Female,60, Honduras, >50K
50, Government, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States, >50K
47, Self-employed, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,60, United-States, <=50K
43, Private, Bachelors, Married, Tech-support, Husband, White, Male,40, United-States, >50K
46, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,40, Mexico, <=50K
35, Private, Assoc-voc, Married, Other, Husband, White, Male,40, Puerto-Rico, <=50K
41, Private, HS-grad, Married, Adm-clerical, Husband, White, Male,48, United-States, <=50K
30, Private, HS-grad, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
30, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, <=50K
32, Other, Didnt-grad-HS, Married, Other, Not-in-family, White, Male,40, ?, <=50K
48, Private, HS-grad, Married, Transport-moving, Husband, White, Male,40, United-States, <=50K
42, Private, Doctorate, Married, Prof-specialty, Husband, White, Male,45, United-States, >50K
29, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,58, United-States, <=50K
36, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
53, Private, HS-grad, Married, Adm-clerical, Wife, White, Female,40, United-States, >50K
49, Self-employed, Bachelors, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
25, Other, Bachelors, Never-married, Other, Own-child, White, Male,40, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,32, United-States, <=50K
31, Private, Bachelors, Separated, Sales, Own-child, Black, Female,40, United-States, <=50K
29, Self-employed, Bachelors, Married, Sales, Husband, White, Male,70, United-States, >50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
79, Private, Bachelors, Married, Prof-specialty, Other-relative, White, Male,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other, Own-child, White, Male,40, Mexico, <=50K
40, Private, Assoc-acdm, Married, Adm-clerical, Husband, White, Male,40, United-States, <=50K
67, Other, Didnt-grad-HS, Married, Other, Husband, White, Male,2, United-States, <=50K
18, Private, Didnt-grad-HS, Never-married, Other, Own-child, White, Female,22, United-States, <=50K
31, Government, Didnt-grad-HS, Married, Farming-fishing, Husband, White, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K
52, Private, Bachelors, Married, Other, Husband, White, Male,40, Cuba, <=50K
46, Private, HS-grad, Married, Other, Wife, White, Female,40, United-States, <=50K
59, Private, HS-grad, Married, Sales, Husband, White, Male,48, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,40, United-States, >50K
53, Private, HS-grad, Divorced, Sales, Own-child, White, Female,35, United-States, <=50K
49, Government, HS-grad, Married, Protective-serv, Husband, White, Male,40, United-States, >50K
33, Private, Masters, Married, Prof-specialty, Husband, White, Male,50, United-States, <=50K
30, Private, Didnt-grad-HS, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
43, Government, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
57, Private, Assoc-voc, Married, Prof-specialty, Husband, White, Male,40, United-States, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
28, Private, Bachelors, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, United-States, <=50K
30, Private, HS-grad, Married, Sales, Wife, Asian-Pac-Islander, Female,35, ?, <=50K
34, Government, Bachelors, Married, Protective-serv, Husband, White, Male,40, United-States, >50K
